           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -40              -40               20       -34.248154       -43.453869        7.7426443        24.155682       -25.053911       -22.658264
            -39.2              -40               20        40.464451       -25.543879       -29.622684       -1.2032251        32.395962       -13.697643
            -38.4              -40               20        9.8872347        56.533012        12.385159       -31.659639        6.5784955         27.67177
            -37.6              -40               20        -57.70948        6.8554659        32.137714        14.020898       -25.970619       -2.5537539
            -36.8              -40               20       -1.6920409        -43.00666       -20.198038        29.933659        9.2305717       -19.482071
              -36              -40               20        29.422421        5.5171919       -21.250832       -14.480966        7.5969734        15.902675
            -35.2              -40               20       -18.835098       -3.9469833        16.220747       -12.066395       -23.329523          1.91258
            -34.4              -40               20         19.06221       -42.661942       -4.1748986        12.952331        8.4602957       -30.482115
            -33.6              -40               20        68.179184        28.639311       -15.793395       -15.379145        32.438709        7.7007046
            -32.8              -40               20       -20.898106        80.841797         26.16687       -21.136837       -7.0726223        36.951717
              -32              -40               20       -87.011604       -4.8234215        26.984392        31.198753        -28.89563       -2.7304888
            -31.2              -40               20       -5.6834908       -68.967903       -29.060253        33.209557       0.31945896       -24.853981
            -30.4              -40               20        51.116245       -6.9311705       -37.412506       -26.119596         13.10865        2.7285028
            -29.6              -40               20       -1.0944157        31.924381        15.829636       -34.992226       -9.5659599        6.2551851
            -28.8              -40               20        -20.40307       -22.349031        32.531647        9.0312643       -5.8009024        -17.08239
              -28              -40               20        35.309662       -24.471546       -4.3718166        20.549534        27.898388       -8.5418587
            -27.2              -40               20        34.017002        54.171364       -11.522559       -4.2666645        19.299183        27.958364
            -26.4              -40               20        -55.73053        55.512444        13.268785       -4.1394682       -27.172228        30.177555
            -25.6              -40               20       -81.393501       -44.610332        3.9839754        20.744366       -35.431305       -14.271744
            -24.8              -40               20          16.8909       -93.889526       -27.247549        14.305713       0.24606276       -39.127441
              -24              -40               20        94.889908       -21.425674       -27.739964       -25.372353        29.364813       -11.343304
            -23.2              -40               20        48.710411        67.816772        12.873787       -38.400707        16.978767        19.950174
            -22.4              -40               20       -39.087841        52.921734        42.764076        -4.447423       -9.1203518        14.419981
            -21.6              -40               20       -47.742332       -18.992388        21.739143        32.648117       -6.8338194       -4.6885433
            -20.8              -40               20        15.713202        -36.72776       -16.392277         35.10099        7.4046803       -5.9014993
              -20              -40               20        47.691719        13.206512       -32.575172          3.81529        7.7714982        12.424382
            -19.2              -40               20        1.4614962        60.029827       -19.476442       -22.424809       -9.3073578        18.184313
            -18.4              -40               20       -61.804226         33.88245        5.9332695       -21.193808       -26.193348        1.2923324
            -17.6              -40               20       -70.265045       -41.094582        14.186985          -6.1134        -18.44698       -19.772411
            -16.8              -40               20       -7.7366848        -84.22493        5.1187534        5.3346066        4.7108536       -30.089989
              -16              -40               20        69.925087       -60.011513       -3.8077488        1.8527172        21.189455       -18.194752
            -15.2              -40               20        96.733292        12.691566       -4.8873596       -8.8859606        27.484381        2.2414913
            -14.4              -40               20        59.092487        80.874901        7.7210226       -14.247327        17.542324        17.825853
            -13.6              -40               20       -15.462883        99.278992        18.854416       -8.1632738        2.1231146        23.319233
            -12.8              -40               20       -76.758064        66.888824         21.22253        6.6432724       -10.119852        16.128613
              -12              -40               20       -95.055084        3.0090988          16.3465        18.978794       -17.713009         2.925437
            -11.2              -40               20       -68.433044       -52.385868        1.5500779        22.744547       -10.791984       -7.6883678
            -10.4              -40               20       -20.663675       -73.327614       -7.4890771        19.191933        -2.121479         -9.95856
             -9.6              -40               20        20.598223       -62.529331       -12.957153        11.965173        6.6442332       -6.4878144
             -8.8              -40               20        47.002991       -28.857445       -14.734005        5.2262259        9.9759731       -1.2937317
               -8              -40               20        50.690536        4.0002956       -11.235152      -0.32310867        6.3834953        4.3176098
             -7.2              -40               20        37.538578        31.349998       -9.7344599       -3.7163188        5.6732011        6.9808555
             -6.4              -40               20        16.548441         49.43885       -4.9022923       -5.9391479        1.8040026        7.0377517
             -5.6              -40               20       -11.365519        56.836349       -1.5796181       -8.2955694        1.2219979        7.7384658
             -4.8              -40               20       -36.298462        56.479958        1.4798527       -5.2699189       -1.7285187        4.9773736
               -4              -40               20       -55.083405        43.059116        3.1889107       -3.6744862       -4.1927724        3.8237352
             -3.2              -40               20       -69.894264          30.8104        1.9528978       -3.0026798        -3.154494        2.8542893
             -2.4              -40               20       -78.160858        17.647535        2.0909214      -0.71555704       -5.5301361     -0.084055029
             -1.6              -40               20       -83.467979        6.7857618      -0.12464753       -1.8078828       -3.0453718       0.53103936
             -0.8              -40               20       -84.165321        1.5949686       0.11297201       0.84686512       -2.3272057       -1.8614393
                0              -40               20       -81.916847       -2.8250866                0                0                0                0
              0.8              -40               20       -84.165321        1.5949686      -0.11297201      -0.84686512        2.3272057        1.8614393
              1.6              -40               20       -83.467979        6.7857618       0.12464753        1.8078828        3.0453718      -0.53103936
              2.4              -40               20       -78.160858        17.647535       -2.0909214       0.71555704        5.5301361      0.084055029
              3.2              -40               20       -69.894264          30.8104       -1.9528978        3.0026798         3.154494       -2.8542893
                4              -40               20       -55.083405        43.059116       -3.1889107        3.6744862        4.1927724       -3.8237352
              4.8              -40               20       -36.298462        56.479958       -1.4798527        5.2699189        1.7285187       -4.9773736
              5.6              -40               20       -11.365519        56.836349        1.5796181        8.2955694       -1.2219979       -7.7384658
              6.4              -40               20        16.548441         49.43885        4.9022923        5.9391479       -1.8040026       -7.0377517
              7.2              -40               20        37.538578        31.349998        9.7344599        3.7163188       -5.6732011       -6.9808555
                8              -40               20        50.690536        4.0002956        11.235152       0.32310867       -6.3834953       -4.3176098
              8.8              -40               20        47.002991       -28.857445        14.734005       -5.2262259       -9.9759731        1.2937317
              9.6              -40               20        20.598223       -62.529331        12.957153       -11.965173       -6.6442332        6.4878144
             10.4              -40               20       -20.663675       -73.327614        7.4890771       -19.191933         2.121479          9.95856
             11.2              -40               20       -68.433044       -52.385868       -1.5500779       -22.744547        10.791984        7.6883678
               12              -40               20       -95.055084        3.0090988         -16.3465       -18.978794        17.713009        -2.925437
             12.8              -40               20       -76.758064        66.888824        -21.22253       -6.6432724        10.119852       -16.128613
             13.6              -40               20       -15.462883        99.278992       -18.854416        8.1632738       -2.1231146       -23.319233
             14.4              -40               20        59.092487        80.874901       -7.7210226        14.247327       -17.542324       -17.825853
             15.2              -40               20        96.733292        12.691566        4.8873596        8.8859606       -27.484381       -2.2414913
               16              -40               20        69.925087       -60.011513        3.8077488       -1.8527172       -21.189455        18.194752
             16.8              -40               20       -7.7366848        -84.22493       -5.1187534       -5.3346066       -4.7108536        30.089989
             17.6              -40               20       -70.265045       -41.094582       -14.186985           6.1134         18.44698        19.772411
             18.4              -40               20       -61.804226         33.88245       -5.9332695        21.193808        26.193348       -1.2923324
