Hz, dB, Deg.
1.00000000000000e+000, -4.11940653907283e+001, -8.99998950500068e+001
1.00109990999100e+003, 1.88158491163493e+001, -9.01618977443872e+001
2.00119981998200e+003, 2.48321162058679e+001, -9.03236667308159e+001
3.00129972997300e+003, 2.83525051719938e+001, -9.04854288610877e+001
4.00139963996400e+003, 3.08505713171242e+001, -9.06471898021474e+001
5.00149954995500e+003, 3.27883566471237e+001, -9.08089508568098e+001
6.00159945994599e+003, 3.43717156131590e+001, -9.09707125998176e+001
7.00169936993699e+003, 3.57104724133735e+001, -9.11324753977877e+001
8.00179927992799e+003, 3.68701883143530e+001, -9.12942395392666e+001
9.00189918991899e+003, 3.78931544503284e+001, -9.14560052781073e+001
1.00019990999100e+004, 3.88082483364809e+001, -9.16177728507881e+001
1.10020990099010e+004, 3.96360679233752e+001, -9.17795424843052e+001
1.20021989198920e+004, 4.03918224470855e+001, -9.19413144001292e+001
1.30022988298830e+004, 4.10870622630220e+001, -9.21030888163095e+001
1.40023987398740e+004, 4.17307658360191e+001, -9.22648659486915e+001
1.50024986498650e+004, 4.23300508321464e+001, -9.24266460116460e+001
1.60025985598560e+004, 4.28906552614241e+001, -9.25884292185204e+001
1.70026984698470e+004, 4.34172725080776e+001, -9.27502157819238e+001
1.80027983798380e+004, 4.39137904585560e+001, -9.29120059139442e+001
1.90028982898290e+004, 4.43834658933886e+001, -9.30737998262507e+001
2.00029981998200e+004, 4.48290540973295e+001, -9.32355977302159e+001
2.10030981098110e+004, 4.52529068155799e+001, -9.33973998369578e+001
2.20031980198020e+004, 4.56570474024387e+001, -9.35592063574047e+001
2.30032979297930e+004, 4.60432292523014e+001, -9.37210175023130e+001
2.40033978397840e+004, 4.64129817863789e+001, -9.38828334823108e+001
2.50034977497750e+004, 4.67676470459942e+001, -9.40446545078944e+001
2.60035976597660e+004, 4.71084091048550e+001, -9.42064807894739e+001
2.70036975697570e+004, 4.74363179276621e+001, -9.43683125373489e+001
2.80037974797480e+004, 4.77523088877791e+001, -9.45301499617467e+001
2.90038973897390e+004, 4.80572188585479e+001, -9.46919932728036e+001
3.00039972997300e+004, 4.83517995756361e+001, -9.48538426805883e+001
3.10040972097210e+004, 4.86367288076207e+001, -9.50156983950955e+001
3.20041971197120e+004, 4.89126197525446e+001, -9.51775606262523e+001
3.30042970297030e+004, 4.91800289881505e+001, -9.53394295839156e+001
3.40043969396940e+004, 4.94394632349748e+001, -9.55013054778785e+001
3.50044968496850e+004, 4.96913851388664e+001, -9.56631885178662e+001
3.60045967596760e+004, 4.99362182387400e+001, -9.58250789135417e+001
3.70046966696670e+004, 5.01743512535601e+001, -9.59869768744995e+001
3.80047965796580e+004, 5.04061417975228e+001, -9.61488826102667e+001
3.90048964896490e+004, 5.06319196125856e+001, -9.63107963303104e+001
4.00049963996400e+004, 5.08519893916856e+001, -9.64727182440237e+001
4.10050963096310e+004, 5.10666332533079e+001, -9.66346485607379e+001
4.20051962196220e+004, 5.12761129178277e+001, -9.67965874897116e+001
4.30052961296130e+004, 5.14806716277428e+001, -9.69585352401342e+001
4.40053960396040e+004, 5.16805358471332e+001, -9.71204920211276e+001
4.50054959495950e+004, 5.18759167701228e+001, -9.72824580417362e+001
4.60055958595860e+004, 5.20670116635376e+001, -9.74444335109351e+001
4.70056957695770e+004, 5.22540050651595e+001, -9.76064186376255e+001
4.80057956795680e+004, 5.24370698558219e+001, -9.77684136306289e+001
4.90058955895590e+004, 5.26163682209566e+001, -9.79304186986925e+001
5.00059954995500e+004, 5.27920525149961e+001, -9.80924340504832e+001
5.10060954095410e+004, 5.29642660401763e+001, -9.82544598945917e+001
5.20061953195320e+004, 5.31331437497124e+001, -9.84164964395211e+001
5.30062952295230e+004, 5.32988128839952e+001, -9.85785438936932e+001
5.40063951395140e+004, 5.34613935473197e+001, -9.87406024654492e+001
5.50064950495049e+004, 5.36209992316942e+001, -9.89026723630402e+001
5.60065949594960e+004, 5.37777372934526e+001, -9.90647537946316e+001
5.70066948694870e+004, 5.39317093876823e+001, -9.92268469682973e+001
5.80067947794779e+004, 5.40830118648702e+001, -9.93889520920217e+001
5.90068946894689e+004, 5.42317361336433e+001, -9.95510693736988e+001
6.00069945994599e+004, 5.43779689930220e+001, -9.97131990211249e+001
6.10070945094509e+004, 5.45217929372121e+001, -9.98753412420035e+001
6.20071944194419e+004, 5.46632864356130e+001, -1.00037496243940e+002
6.30072943294329e+004, 5.48025241904234e+001, -1.00199664234439e+002
6.40073942394239e+004, 5.49395773739597e+001, -1.00361845420907e+002
6.50074941494149e+004, 5.50745138475772e+001, -1.00524040010649e+002
6.60075940594059e+004, 5.52073983638762e+001, -1.00686248210863e+002
6.70076939693969e+004, 5.53382927537044e+001, -1.00848470228646e+002
6.80077938793879e+004, 5.54672560993056e+001, -1.01010706270982e+002
6.90078937893789e+004, 5.55943448948279e+001, -1.01172956544752e+002
7.00079936993699e+004, 5.57196131952845e+001, -1.01335221256721e+002
7.10080936093609e+004, 5.58431127549482e+001, -1.01497500613548e+002
7.20081935193519e+004, 5.59648931560674e+001, -1.01659794821772e+002
7.30082934293429e+004, 5.60850019287044e+001, -1.01822104087819e+002
7.40083933393339e+004, 5.62034846624210e+001, -1.01984428618000e+002
7.50084932493249e+004, 5.63203851104667e+001, -1.02146768618503e+002
7.60085931593159e+004, 5.64357452870683e+001, -1.02309124295398e+002
7.70086930693069e+004, 5.65496055583587e+001, -1.02471495854630e+002
7.80087929792979e+004, 5.66620047274395e+001, -1.02633883502022e+002
7.90088928892889e+004, 5.67729801140252e+001, -1.02796287443270e+002
8.00089927992799e+004, 5.68825676290781e+001, -1.02958707883944e+002
8.10090927092709e+004, 5.69908018448067e+001, -1.03121145029481e+002
8.20091926192619e+004, 5.70977160603700e+001, -1.03283599085188e+002
8.30092925292529e+004, 5.72033423635990e+001, -1.03446070256243e+002
8.40093924392439e+004, 5.73077116890227e+001, -1.03608558747685e+002
8.50094923492349e+004, 5.74108538724595e+001, -1.03771064764416e+002
8.60095922592259e+004, 5.75127977024168e+001, -1.03933588511203e+002
8.70096921692169e+004, 5.76135709685186e+001, -1.04096130192670e+002
8.80097920792079e+004, 5.77132005071666e+001, -1.04258690013301e+002
8.90098919891989e+004, 5.78117122446203e+001, -1.04421268177436e+002
9.00099918991899e+004, 5.79091312376711e+001, -1.04583864889268e+002
9.10100918091809e+004, 5.80054817120689e+001, -1.04746480352845e+002
9.20101917191719e+004, 5.81007870988483e+001, -1.04909114772064e+002
9.30102916291629e+004, 5.81950700686922e+001, -1.05071768350672e+002
9.40103915391539e+004, 5.82883525644564e+001, -1.05234441292263e+002
9.50104914491449e+004, 5.83806558319742e+001, -1.05397133800278e+002
9.60105913591359e+004, 5.84720004492476e+001, -1.05559846077999e+002
9.70106912691269e+004, 5.85624063541262e+001, -1.05722578328551e+002
9.80107911791179e+004, 5.86518928705664e+001, -1.05885330754898e+002
9.90108910891089e+004, 5.87404787335580e+001, -1.06048103559844e+002
1.00010990999100e+005, 5.88281821127973e+001, -1.06210896946028e+002
1.01011090909091e+005, 5.89150206351837e+001, -1.06373711115925e+002
1.02011190819082e+005, 5.90010114062064e+001, -1.06536546271838e+002
1.03011290729073e+005, 5.90861710302896e+001, -1.06699402615905e+002
1.04011390639064e+005, 5.91705156301533e+001, -1.06862280350092e+002
1.05011490549055e+005, 5.92540608652483e+001, -1.07025179676190e+002
1.06011590459046e+005, 5.93368219493180e+001, -1.07188100795816e+002
1.07011690369037e+005, 5.94188136671344e+001, -1.07351043910410e+002
1.08011790279028e+005, 5.95000503904570e+001, -1.07514009221234e+002
1.09011890189019e+005, 5.95805460932556e+001, -1.07676996929368e+002
1.10011990099010e+005, 5.96603143662376e+001, -1.07840007235709e+002
1.11012090009001e+005, 5.97393684307187e+001, -1.08003040340971e+002
1.12012189918992e+005, 5.98177211518713e+001, -1.08166096445680e+002
1.13012289828983e+005, 5.98953850513835e+001, -1.08329175750173e+002
1.14012389738974e+005, 5.99723723195615e+001, -1.08492278454599e+002
1.15012489648965e+005, 6.00486948269027e+001, -1.08655404758912e+002
1.16012589558956e+005, 6.01243641351676e+001, -1.08818554862873e+002
1.17012689468947e+005, 6.01993915079775e+001, -1.08981728966046e+002
1.18012789378938e+005, 6.02737879209602e+001, -1.09144927267798e+002
1.19012889288929e+005, 6.03475640714681e+001, -1.09308149967294e+002
1.20012989198920e+005, 6.04207303878897e+001, -1.09471397263498e+002
1.21013089108911e+005, 6.04932970385742e+001, -1.09634669355169e+002
1.22013189018902e+005, 6.05652739403899e+001, -1.09797966440860e+002
1.23013288928893e+005, 6.06366707669319e+001, -1.09961288718916e+002
1.24013388838884e+005, 6.07074969563986e+001, -1.10124636387471e+002
1.25013488748875e+005, 6.07777617191514e+001, -1.10288009644448e+002
1.26013588658866e+005, 6.08474740449730e+001, -1.10451408687553e+002
1.27013688568857e+005, 6.09166427100394e+001, -1.10614833714280e+002
1.28013788478848e+005, 6.09852762836179e+001, -1.10778284921901e+002
1.29013888388839e+005, 6.10533831345051e+001, -1.10941762507468e+002
1.30013988298830e+005, 6.11209714372152e+001, -1.11105266667812e+002
1.31014088208821e+005, 6.11880491779328e+001, -1.11268797599539e+002
1.32014188118812e+005, 6.12546241602379e+001, -1.11432355499027e+002
1.33014288028803e+005, 6.13207040106157e+001, -1.11595940562428e+002
1.34014387938794e+005, 6.13862961837596e+001, -1.11759552985660e+002
1.35014487848785e+005, 6.14514079676774e+001, -1.11923192964410e+002
1.36014587758776e+005, 6.15160464886091e+001, -1.12086860694131e+002
1.37014687668767e+005, 6.15802187157638e+001, -1.12250556370036e+002
1.38014787578758e+005, 6.16439314658854e+001, -1.12414280187101e+002
1.39014887488749e+005, 6.17071914076531e+001, -1.12578032340061e+002
1.40014987398740e+005, 6.17700050659234e+001, -1.12741813023406e+002
1.41015087308731e+005, 6.18323788258226e+001, -1.12905622431381e+002
1.42015187218722e+005, 6.18943189366933e+001, -1.13069460757984e+002
1.43015287128713e+005, 6.19558315159033e+001, -1.13233328196963e+002
1.44015387038704e+005, 6.20169225525215e+001, -1.13397224941813e+002
1.45015486948695e+005, 6.20775979108663e+001, -1.13561151185776e+002
1.46015586858686e+005, 6.21378633339329e+001, -1.13725107121837e+002
1.47015686768677e+005, 6.21977244467024e+001, -1.13889092942722e+002
1.48015786678668e+005, 6.22571867593403e+001, -1.14053108840898e+002
1.49015886588659e+005, 6.23162556702853e+001, -1.14217155008567e+002
1.50015986498650e+005, 6.23749364692370e+001, -1.14381231637668e+002
1.51016086408641e+005, 6.24332343400425e+001, -1.14545338919870e+002
1.52016186318632e+005, 6.24911543634890e+001, -1.14709477046575e+002
1.53016286228623e+005, 6.25487015200038e+001, -1.14873646208912e+002
1.54016386138614e+005, 6.26058806922673e+001, -1.15037846597737e+002
1.55016486048605e+005, 6.26626966677409e+001, -1.15202078403628e+002
1.56016585958596e+005, 6.27191541411137e+001, -1.15366341816886e+002
1.57016685868587e+005, 6.27752577166710e+001, -1.15530637027531e+002
1.58016785778578e+005, 6.28310119105876e+001, -1.15694964225299e+002
1.59016885688569e+005, 6.28864211531492e+001, -1.15859323599642e+002
1.60016985598560e+005, 6.29414897909035e+001, -1.16023715339724e+002
1.61017085508551e+005, 6.29962220887444e+001, -1.16188139634419e+002
1.62017185418542e+005, 6.30506222319323e+001, -1.16352596672308e+002
1.63017285328533e+005, 6.31046943280514e+001, -1.16517086641679e+002
1.64017385238524e+005, 6.31584424089078e+001, -1.16681609730523e+002
1.65017485148515e+005, 6.32118704323695e+001, -1.16846166126531e+002
1.66017585058506e+005, 6.32649822841507e+001, -1.17010756017093e+002
1.67017684968497e+005, 6.33177817795436e+001, -1.17175379589295e+002
1.68017784878488e+005, 6.33702726650967e+001, -1.17340037029918e+002
1.69017884788479e+005, 6.34224586202447e+001, -1.17504728525433e+002
1.70017984698470e+005, 6.34743432588900e+001, -1.17669454262002e+002
1.71018084608461e+005, 6.35259301309376e+001, -1.17834214425470e+002
1.72018184518452e+005, 6.35772227237854e+001, -1.17999009201371e+002
1.73018284428443e+005, 6.36282244637710e+001, -1.18163838774919e+002
1.74018384338434e+005, 6.36789387175778e+001, -1.18328703331007e+002
1.75018484248425e+005, 6.37293687935990e+001, -1.18493603054206e+002
1.76018584158416e+005, 6.37795179432650e+001, -1.18658538128762e+002
1.77018684068407e+005, 6.38293893623311e+001, -1.18823508738593e+002
1.78018783978398e+005, 6.38789861921305e+001, -1.18988515067285e+002
1.79018883888389e+005, 6.39283115207910e+001, -1.19153557298096e+002
1.80018983798380e+005, 6.39773683844190e+001, -1.19318635613946e+002
1.81019083708371e+005, 6.40261597682494e+001, -1.19483750197418e+002
1.82019183618362e+005, 6.40746886077651e+001, -1.19648901230754e+002
1.83019283528353e+005, 6.41229577897849e+001, -1.19814088895856e+002
1.84019383438344e+005, 6.41709701535221e+001, -1.19979313374280e+002
1.85019483348335e+005, 6.42187284916145e+001, -1.20144574847234e+002
1.86019583258326e+005, 6.42662355511264e+001, -1.20309873495579e+002
1.87019683168317e+005, 6.43134940345241e+001, -1.20475209499819e+002
1.88019783078308e+005, 6.43605066006251e+001, -1.20640583040108e+002
1.89019882988299e+005, 6.44072758655218e+001, -1.20805994296240e+002
1.90019982898290e+005, 6.44538044034820e+001, -1.20971443447649e+002
1.91020082808281e+005, 6.45000947478243e+001, -1.21136930673408e+002
1.92020182718272e+005, 6.45461493917715e+001, -1.21302456152223e+002
