frequency   a1          a2      a3      a4      a5          a6
 50.474238  9.400E-8    9.694   0.890   0.8      0.240E-3    0.790E-3
 50.987749  2.460E-7    8.694   0.910   0.8      0.220E-3    0.780E-3
 51.503350  6.080E-7    7.744   0.940   0.8      0.197E-3    0.774E-3
 52.021410  1.414E-6    6.844   0.970   0.8      0.166E-3    0.764E-3
 52.542394  3.102E-6    6.004   0.990   0.8      0.136E-3    0.751E-3
 53.066907  6.410E-6    5.224   1.020   0.8      0.131E-3    0.714E-3
 53.595749  1.247E-5    4.484   1.050   0.8      0.230E-3    0.584E-3
 54.130000  2.280E-5    3.814   1.070   0.8      0.335E-3    0.431E-3
 54.671159  3.918E-5    3.194   1.100   0.8      0.374E-3    0.305E-3
 55.221367  6.316E-5    2.624   1.130   0.8      0.258E-3    0.339E-3
 55.783802  9.535E-5    2.119   1.170   0.8     -0.166E-3    0.705E-3
 56.264775  5.489E-5    0.015   1.730   0.8      0.390E-3   -0.113E-3
 56.363389  1.344E-4    1.660   1.200   0.8     -0.297E-3    0.753E-3
 56.968206  1.763E-4    1.260   1.240   0.8     -0.416E-3    0.742E-3
 57.612484  2.141E-4    0.915   1.280   0.8     -0.613E-3    0.697E-3
 58.323877  2.386E-4    0.626   1.330   0.8     -0.205E-3    0.051E-3
 58.446590  1.457E-4    0.084   1.520   0.8      0.748E-3   -0.146E-3
 59.164207  2.404E-4    0.391   1.390   0.8     -0.722E-3    0.266E-3
 59.590983  2.112E-4    0.212   1.430   0.8      0.765E-3   -0.090E-3
 60.306061  2.124E-4    0.212   1.450   0.8     -0.705E-3    0.081E-3
 60.434776  2.461E-4    0.391   1.360   0.8      0.697E-3   -0.324E-3
 61.150560  2.504E-4    0.626   1.310   0.8      0.104E-3   -0.067E-3
 61.800154  2.298E-4    0.915   1.270   0.8      0.570E-3   -0.761E-3
 62.411215  1.933E-4    1.260   1.230   0.8      0.360E-3   -0.777E-3
 62.486260  1.517E-4    0.083   1.540   0.8     -0.498E-3    0.097E-3
 62.997977  1.503E-4    1.665   1.200   0.8      0.239E-3   -0.768E-3
 63.568518  1.087E-4    2.115   1.170   0.8      0.108E-3   -0.706E-3
 64.127767  7.335E-5    2.620   1.130   0.8     -0.311E-3   -0.332E-3
 64.678903  4.635E-5    3.195   1.100   0.8     -0.421E-3   -0.298E-3
 65.224071  2.748E-5    3.815   1.070   0.8     -0.375E-3   -0.423E-3
 65.764772  1.530E-5    4.485   1.050   0.8     -0.267E-3   -0.575E-3
 66.302091  8.009E-6    5.225   1.020   0.8     -0.168E-3   -0.700E-3
 66.836830  3.946E-6    6.005   0.990   0.8     -0.169E-3   -0.735E-3
 67.369598  1.832E-6    6.845   0.970   0.8     -0.200E-3   -0.744E-3
 67.900867  8.010E-7    7.745   0.940   0.8     -0.228E-3   -0.753E-3
 68.431005  3.300E-7    8.695   0.920   0.8     -0.240E-3   -0.760E-3
 68.960311  1.280E-7    9.695   0.900   0.8     -0.250E-3   -0.765E-3
118.750343  9.450E-5    0.009   1.630   0.8     -0.036E-3    0.009E-3
368.498350  6.790E-6    0.049   1.920   0.2      0           0
424.763124  6.380E-5    0.044   1.930   0.2      0           0
487.249370  2.350E-5    0.049   1.920   0.2      0           0
715.393150  9.960E-6    0.145   1.810   0.2      0           0
773.839675  6.710E-5    0.130   1.820   0.2      0           0
834.145330  1.800E-5    0.147   1.810   0.2      0           0
